sentence	is_counterfactual
後はＰＣにすでに登録されているＳＯＮＹ Ｘ-アプリの音楽データを再生しながらサウンドエフェクトのかけ方を覚えればＯＫ。	0
商品の価格が高めに設定しているので、価格面ではあまり良くないですが、子供が喜んで遊んでくれたので、無理して買った甲斐があったと思います。	0
この値段ならば一度だまされたと思って使ってみてください。	0
秒針までピッタリと合うのは気持ちいいですが、この感覚が判るのは日本人とドイツ人だけかもしれませんね。	0
割らないように気を付けて、長く使いたいと思います。	0
しいて言うなら、PCスリープから復帰後の最初のHDDへのアクセス時にわずかにもたつく感がある事でしょうか？	0
マウスによるFPSの操作は初めてで安いなと思って購入してみたところ・とても使いやすくdpiも４段階で調節できるので状況に応じて変更できるとこも良いと思います・ロゴの部分のLEDも色の変更ができるので気分によって色を変えていくとモチベも下がりませんｗ・・他の方が書いている遅延も特に感じることもありませんでした。	0
人それぞれ趣味趣向には差があり見たい人は見ればよい・そんな映画です。	0
iPhone5のジャックがないのだけが、欠点ですそれさえ解決すれば星5つです*¥(^o^)/*・我が家は、2台買ってますよ\(^o^)／	1
船体上部の成型色が設定と違う＞・アニメ本編で確認しても、実際にはもっと暗く、赤みが強い印象です。	0
機会があれば是非又買い物したいと思いました。	0
パリッとした弦セクションの美感に重心を置き、激情よりも純音楽的な音づくりに徹底したマーラーだと思います。	0
同社の体重計の使い心地が大変良かったので血圧計も購入してみました。	0
商品写真からわかると思いますが、ケーブルが&#34;T&#34;の字に広がってしまい、ケーブルと本体をすっきり配置できないのが残念です。	0
ドロップハンドルのロードレーサーでは、ハンドル先端部に装着すれば、あらゆる姿勢で後方の視認が可能です。	0
使い始めたばかりなので長持ちするかなどの観点では評価できませんが・おすすめできるとおもいます	0
閉じれば自動的にスリープモードに移行してくれる、丁度良いざらつきで滑り難い、など良い点が多いのですが、・白いkindleを使っている人には決してお勧めできない欠点があります。	0
欠点の見いだせないＢＤだと思う。	0
相変わらずな展開ですが、それでも、視聴者を飽きさせないストーリーは・さすが２４だと思います。	0
Kindleで読むのに最適だと思います。	0
さらに積み本で埋まってもwカラフルで見つけやすいし丈夫で安心！	0
まだ、使うときにキャップを外そうとしてしまうくせが抜けていませんが、つけてよかったと思います。	0
ぴったり履くシューズではない事を前提に選ぶなら、ツマ先から踵までの長さが・サイズの基本になるかなと思います。	0
音質はそれなりかと思いますが、この利便性でこの値段なら何も言うことはないですね。	0
それでも、２０００円でこの機能があれば、文句は無いです。	0
親子では勿論、付き合い始めて間もない程度のカップルの方々なら、・一緒に見るのは避けた方が良いかも知れません。	0
モーパッサンの文章は、実際、簡潔で易しく、単語さえ・慣れれば、どっぷりジャンヌの心理に没入できます。	0
）・本当に値段相応と見てよいと思います。	0
本当は花形レンズフードが欲しかったけで、標準レンズには使用できないとのことで、純正品を買いました。	0
初心者にはオススメだなーと思いました。	0
本来は最後の瞬間からもっと掘り下げがあってしかるべきと思われた。	0
裏面がラバーだったらもっと安定感があって安心・２．	0
と思いながら読んだのですが・筆者があまりにも自然体で書かれているため、感銘しました・・高い感性、感受性をもっているからこそ、筆者は成功したのだと思いました・・そんな思いを持ちながら読み進めました お勧めです	0
高さの調節も出来るのでまだまだお世話になると思います。	0
商品は良いと思ってたのですが、、、	0
ですが、5月に・アナと雪の女王 オリジナル・サウンドトラック -デラックス・エディション- (2枚組ALBUM) [Double CD, Limited Edition]・が出ると言うことで、少し値段は上がりますがそちらのCDを買うのもいいと思います(・∀・)	0
それに見た目もフードをつけていたほうがカッコイイｗ	0
WYSWYGの革命的なGUIに感動、誰がどうしたらこういうモノをつくれるんだろうかと、ずっと疑問でしたが、この本を読んでわかったような気にさせてもらいました。	0
ゲームが好きなら買って間違いなしですね	0
お陰様で、料理の途中で手を離さずに済んで大助かりです！	0
Ain't Got No は最も数多くのライブ音源が残されている曲の一つだと思いますが、私は一つとして同じ演奏を聴いた記憶がありません。	0
文字盤が学校の時計みたいで見やすいですし、近視の私でもパッと見た目で時間がわかるのが良いです。	0
まだエージングが十分ではありませんが時間をかけて熟成させていきたいと思います。	0
安い腕時計なので気兼ねなく使用できる点が良いです。	0
顔を正面に向けたままで右後方をミラーにとらえるには、ミラーを顔から離れた場所にセットしなければなりません。	0
もう少し早めに買えばもっと長く使えることでしょう。	0
軽くて良いですね。	0
実用向けに使われる方には後側フェンダーだけでも良いと思います。	0
これで終わりと思ったら、まだこの話は続く。	0
バンドが続いていればこれをライブで披露する場面もあったかも。	0
子供がアイス好き、または女の子なら喜ぶ品だと思います。	0
とても良いですが、電池のカバーのヒンジがとても注意です。	0
その分、一度装着すれば外れることはまずないです。	0
４人はもちろんそれぞれの夫や彼の人生も映し出され、心の移り変わりや、そのきっかけのさり気なさ、・生きていればこその悩みや葛藤の描き方も素敵です。	0
Zippoユーザーなら持ってて損しない一品。	0
機能、大きさ、丈夫さなど値段を考えるととてもお安い買い物だと思います。	0
ここの書き込みを見て１ｃｍほど大きめを買いました・結果サイズはぴったりでした・また、履き心地もいいですね・アマゾンでのセール価格くらいなら今後も十分利用しようと思える商品でした	0
タイプが違うためか、履き心地が少し違うと思います。	0
作りも悪くないし普通にソケットに指しやすい無駄なLEDが無い等普通に充電機として見れば十分だと思います。	0
生涯保証など気にせずに壊れたら新しいのを買い換えれば良いと思える方には商品自体は良いと思う。	0
普通に光学ドライブは前面むきだしのデザインでよかったと思います。	0
V44」で過ごした日々が大変興味深いと思いました。	0
もっとも好きな曲「大イ長調ソナタ D.	0
これなら縦横可動しますので、・かなり楽になります。	0
良い意味でも、悪い意味でもダイジェスト版と言うのが正しいかと思います。	0
これがあればあっという間に作業は終了しますね。	0
届いた時は、保護フィルムもしっかりと・貼ってあり、良い状態で来て、説明書も・とてもわかりやすくて良かったです‼	0
歩数の精度はいいと思います。	0
なんにせよ、長女のときに出会っていたかったと思うくらいには気に入った玩具です。	0
と思いましたが、SilverLightというソフトのインストールが必要でした。	0
カリビアンファンや飾ってみるだけの人にはよいかも。	0
出来れば音楽を聞きながらスマホの充電も快適な車の旅をしたくて買ったので残念！	0
首を横にしないでよくなったから使いやすい、視力弱いので助かります	0
安くて実用になるので買って良かったと思ってます。	0
精度に関しては、私は撮影の際ＮＥＸＵＳ７（アンドロイドタブレット）を併用しているのですが、ＧＰＳ精度に定評があるＮＥＸＵＳ７よりも・こちらのほうが感度も精度も良いですね。	0
MIDはカットの方向がいいですね。	0
思ったより、大きかったですが・海外旅行に行くときとかにはいいと思います‼‼	0
当然かもしれないが、字幕版のほうが、複雑な心の中や、背景などがきちんとわかるようにセリフが翻訳されている。	0
あんな時代において絶対ありえないかなと思ったが、自分の思いに従えば、どんな困難でも克服できるでしょう。	0
To Kill a Mockingbird が書かれていなくて、本書だけが出版されていたら、読者は満たされなかっただろう。	0
また、御社からPOSキーボードが発売されれば是非買いたいところです。	1
あるとないとでは大違い・なくさないでしょ・これなら・楽なのはもちろんですし・・標準装備にすればいいのに・・・・と。	1
どうせ買うならもう少し多きほうがよかったです。	1
個人的には迷彩のトルーパーを二人にしてボム・スクワッドを一人にして欲しかった。	1
）という記号を右に90度回転させたような形になっていると言えば想像しやすいでしょうか。	0
それは低音を削れば良いだけの話でもあります。	0
ハンドルの取り付け位置がもう少し高いと、吸着力が不十分でも、左手で上から押さえつけて、ミル全体が動かないようにして挽くことができます。	1
時計なので「時間が分かれば良い」それで十分なのかもしれません。	0
中身は同じなら、安いほうがいいです。	0
特に、宇宙の描写は素晴らしく、2001年宇宙の旅からすれば、よくぞここまで進歩したなあと思う。	0
持った質感もいいです。	0
発想はよいが鏡が小さく後ろ良く見えないので、やっぱり現物を見て購入すれば良かった。	1
主役の俳優さんはそんなに好きではないので、映画館にまで足を運ぼうとは思わなかったので、ちょうどよかったかなと思いました。	0
オレンジの発色もいいです。	0
K701一筋で、他はほとんど手を出してないので偏ってるかもしれませんが、参考になれば幸いです。	0
うちの子には相性が良かったみたいで購入して良かったです。	0
一つ気になるとすれば外装（ゴムっぽいヤツ）の角がはがれて地肌（黒いプラスチック）出ちゃいました。	0
13000mAhでセール価格2,499円だったのが決めて決め手でしたが(笑・・欲を言えば、もっとスマホと同じデザイン、同じ厚さが理想です。	1
アルコールストーブは市販のものは使えませんが、高さ2cm程度のものを自作すれば使えます（コーヒーのボトル缶300ccの底がぴったり合います。	0
ニコ生やUSTREAM等の配信用として、こいつは最高のコストパフォーマンスでしょう。	0
自動車運転する人から見れば、路肩を走る自転車が、追い越す自動車を意識しているのとそうではないのとでは、危険度がかなり違うと感じているはずです。	0
このデビュー作が、最高傑作だと、個人的には思います。	0
これを読んだ後、あなたは「等倍にした時のわずかな差」より「写真全体の絵の出来」について関心が行くようになっていることでしょう！	0
ここで大盤振る舞いに、ブレイド２のときのバンパイヤ、もっとふざけて、ヘルボーイになって出てくる！	0
とはいいながら、収録されているライヴ音源はなかなかの出来栄えで、この2曲だけでも聴くことができてよかったと今では思っています。	0
録音までに相当のトレーニングをしたのでしょうが、まさに歌の力を感じさせてくれます。	0
必要な所にはちゃんとあるし、内部のどこのネジだか不明なので、生産時に入ったゴミなのでしょう。	0
靴底は、もっと大きな溝のものをさがします。	0
おそらく往年のファンにはモダンすぎる音だろうが、まぎれもなくこれが今のハロウィンの形なのだ。	0
と疑問に思いました。	0
作りも頑丈そうだし、今のところ遊びで使うにはいいですね。	0
ループの大きさも丁度良いです。	0
みんなが持っているようなクロックスは足にフィット感がなくて、買うことをためらっていましたが、このクロックスならスリムな感じでよいかなと思い購入しました。	0
ただしいて言えば、日本語の説明書があると良かったと思いました。	1
HDMIで繋ぎ大画面で見ましたが画質も良く続きも見たいと思いました。	0
容量多すぎて、半分以上減るまで使ったことがないです（笑）・タコ足のコードを使用してiPhone5と同時に充電すると、どちらかが充電できてないことがあるのですが、私だけでしょうか？	0
と文句を言いたくなる気持ちも分かりますが、マイクとマイクケーブルは別売りって言う事を少しくらい下調べくらいはしてから購入しても良かったんではないでしょうか？	1
いっそ昔なじみの誘いに乗って、裏社会に落ちた方がもっとましな暮らしができそうだから。	0
値段安いので、価格以上のパフォーマンスは得られていると思います。	0
