sentence	is_counterfactual
In person it looks as though it would have cost a lot more.	1
Product received as described in the shipping time indicated; couldn't be happier - Thank You!!!	0
The handkerchiefs were just what I wanted - soft and not too thick, not too thin.	0
I adore Nessa and give her  credit because there is no way I'd be behaving like a normal teen by catching a train, working a job and gasp!...going without cable in my room or an Ipad - and all the while planning a big celebrity wedding for my Dad and his superstar fiancée.	0
He was very pleased when he saw how neat the closet looked and how much easier it is for him to get his shoes off these racks without everything else falling off as well.	0
Good for someone who wants to save on cable and doesn't mind not having all the flashy channels.	0
Even when I wanted to put the book down because of some of the horrific content, I couldn't.	0
This is DEFINITELY a GREAT BUY... You won't go wrong...	0
With my Amazon prime I received this in free one day instead of the free two day for prime.	0
I was going on a trip from CA to upper MN recently and really wanted some type of lumbar support for the flight.	0
I got this for my mom, who is hard of hearing and couldn't understand her TV programs, no matter how loud the volume was.	0
2) I wish the pillow was much fluffier.	1
If you simply want a display item then this would be a good one.	0
I thought it should have used more of esp or visions angle and mentioned at the end whether or not if he still had the visions.	1
There's sort of a two-tone look to each flower, so it doesn't have to be an exact match to still work with an outfit.	0
IF you're buying these CD sleeves PRIMARILY FOR THE COLOR, and the image displayed here is still one of a deep, dark red (much deeper even than Santa's suit or a fire engine, but still a true red with no orange tones), and the supplying company is KFMsupply, then do NOT order these; you would be totally disappointed.	1
They are much bigger than I thought they would be.	1
Additionally, all the Windows software comes with KeyGen apps, which I've only seen with pirated software.	0
I feel he was trying to write for a female audience with more focus on the love and relationship side of things instead of the nitty gritty twists we have come to love about him.	0
Who would have thought a pillow could make such a difference in my sleep!	0
I received them on June 27, 2014, if I would have known that I could not return a piece of low quality piece of junk I would not have purchased them.	1
The package arrived quickly but was missing the manual/instructions and screws necessary to hold the vacuum parts together so it's useless while they give the run-around about who to get that stuff from.	0
For me, this doesn't work in my cuttlebug so, I'm not going to recommend it.	0
They do not have a blu-ray logo on them which is what I wanted and what they advertise.	0
Haven't had a problem yet and it's great for the price.	0
Was really impressed that they came with three different color knobs & faceplates (white, biege, ivory).	0
Wish it was more of a woman's cut and shape.	1
Like I said on my other review for book one, the story or characters won't stay in your mind forever but it's still an enjoyable read.	0
If you have particularly large arms it likely won't fit you.	0
But instead of the third party vendor for 29.95 I selected the same item shipped and sold by Amazon.com which was $4.00 more.	0
It is a sexy bra and I love how it looks on, but it doesn't give the best support.	0
They fit like a glove, without the discomfort.	0
This feature does work but has its limits and won't completely eliminate, for example, a loud TV in the background.	0
Having said that I must admit that I think wool is the best part of the silo saga.	0
I would have thought they would put some kind of padding in place.	1
The policy has also eroded our civil liberties -- without making us any safer.	0
Haven't used it much to see if any channels are worth watching....no ESPN.	0
I bought the mask for my daughter to go with her collection, it's absolutely stunning, and it's not the only one I bought, the quality is more like you would pay for a $300.00 mask, I only wish they had more of a variety, only because we have them all.	1
I may have to crazy glue the walls on each shelf so it doesn't collapse.	0
These headphones are falling apart, the cable is shredded, my son asked me what dog chewed on them (none).	0
❤️...where have these been all my life ;-)) ...once you step onto these rugs...you won't want to step off...seriously...PLUSH!	0
I haven't noticed losing signal to the long run to my PJ so far, and I was actually surprised to see that it's not an either/or switch.	0
She is one of those authors that I buy without even knowing what it is about.	0
First of all I would have to say I am quite pleased with the coat and how nice it is.	0
It's sturdy, neat and easy to install, but the door closures could be a bit more rugged.	0
This actually would have been a 5 star read for me, except if had trouble getting into the writing style.	1
Works as wipe tied and came with a nice instruction booklet with info on programming it for all my devices.	0
His outrage felt somewhat out of character, yet...we had not seen him in a situation like that before, so maybe it was very much in his character and we were just never witness to it.	0
If they wanted different shaped pants, why didn't they just start a new sizing line and keep the existing line the same for those of us who liked it.	1
It worked for about 2 months and I haven't been able to get it to work since!!!	0
Just in case you didn't read the description it only comes with the dress and the headband, I ordered a boa and gloves separately (from Hong Kong for cheap) but they still haven't arrived a month later...but that's what I get for being cheap!	0
"""It doesn't really matter if Amy and Nick are \likable\"""" characters although I suspect I am a bit twisted because I fell in love with Nick and I could understand Amy's motives toward the end of the novel."""""""	0
Was going to charge the batteries when the light when on even without it being plugged in.	0
The sound is nice and true and the signal doesn't go out of my cubicle.	0
Packaged well and comes with a carrying case that is also spectacular.	0
"""Saved money but it was a 45 minute clean and reassembly process that is NOT a \\\\\very quick installation\\\\\"""" nor for those without the ability to assemble small things."""""""	0
I wish I would have LOVED this one but I didn't.	1
They are loose at the knee, but it doesn't matter.	0
I have seen a lot of negative reviews with low stars and saying how they wanted more and this isn't dark ... DID YOU READ THE SAME BOOK AS I DID?	0
This book should be mandatory reading in every high school history classes.	0
I wanted to a stretch knit cap for when I traveled during the winter months where it gets a little chilly.	0
Rand had to die, but it would have been too sad for the readers if that death occurred w/o the resurrection..	1
The color is as it seems (I would have prefered a darker tone), but the belt is very nice and exactly as presented.	0
I have several VHS tapes and thought this would be a great way to save my favorite movies on a DVR.	0
I won't spoil the ending, but I liked this book.	0
"Must have a few pieces of clothing items, however, since I love to utilize wall space as much as i can so I actually hang these low on the wall but \\\\\against\\\\\"" the floor if that makes sense."""	0
I worried that it would be cheap or not fit or...whatever...But WOW!	0
Gym bag does not go in car without them.	0
Instead of a sweeping motion, the second hand now has a jerky, ticky motion.	0
I haven't tried the other adaptors, but I found my MacBook to work just like it does here in the US, and there was no difficulty plugging into the outlets.	0
I think it would be fair to say, summing up other reviews as well as my own experience, that La Crosse is nothing more than an importer selling cheap but pretty good clocks without making much effort even to understand its own products.	0
Unfortunately, the instruction manual for this doesn't seem to be available on the manufacturer's website for download.	0
I ordered it knowing it would be small and somewhat sticky, so I got the biggest size and washed it immediately.	0
Glad it was free because I would have been upset paying for this..	1
"""I have been doing \boot camp\"""" for the past 8 weeks, and haven't gained any weight so i know it's not me... lol... but I am wondering if there is something that i missed?"""""""	0
Wasn't as long as I would have liked I'm only 5'3 and it stop at my ankle and the material is to thin.	1
VERY VERY crappy craftsmanship....I figured things would be made a little better.	0
My own wish is that it offered some sort of password feature because my son prefers that my other son not access it.	1
First off, if you are looking at this story because it is a novella, a quick read, and priced as such but you haven't read any of the earlier books in the series...please pass!	1
"""007 Debated on buying these and had them in my \\\\\wish list\\\\\"""" for several months."""""""	0
I wish it came with a case so I could take it to sewing classes easier.	1
i wish there was one more in the series to find out what happens to Marco.	1
If you own some unpopular devices, you probably couldn't use the RMNU1 remote control to control your favorite devices.	1
The shirt fits him in an XL the same way a M/L normally fits him and while the pictured shirt was enough to get my attention and make the purchase if it was pictured as well as it looks in person I honestly wouldn't mind spending an additional $5 or so.	0
Took it from not being able to see much of it except at night to be able to see it very clearly during a sunny afternoon.	0
i think that's odd since, if you're surfing and paddleboarding, you would be built that way.	1
There were one or two spots where the whole agonizing over confessing emotions was a tiny bit much even for me, but that could be a preference thing.	0
This bra offers enough coverage that I feel comfortable and supported, without feeling like a hoochie mama.	0
One with somewhat a waist band and one without.	0
English must be a second language for the writer.	0
However, when I was assembling it one of the four screws did not fit at the bottom,  so I had to finish without it.	0
I'm in my 30s and didn't feel it would be appropriate for me to wear these.	0
I like that I can delete music directly off the player instead of having to plug it back in to the computer to do so.	0
it doesn't feel as cheap as my previous cleaners.	0
I just wanted one that would  hold a large roll hang on to it under the kitchen sink inside the cupboard door not drop the whole roll every time I tried to pull of a towel one-handed not grip so hard it trashed the paper towels  This one does all that.	0
I first bought the medium and couldn't even get it on my finger so tried the large still to small but works ok on my pointer finger I need x- large and for a example on how small they are made I wear a size 41/2 ring on my ring finger so my fingers aren't huge.	0
But that's my only complaint, I flew through this book in a day I couldn't put it down	0
But for people who haven't purchased this yet, I'd recommend paying a bit more.	0
The ONLY negative thing I have to say about it, is that it says it is a graphic novel in the tile and description, and while there are a lot of illustrations included, I would have loved to see more.	1
It would be great to have other color options, but I suppose they would not be able to sell enough of each color option.	0
Grisham has a way with his words, as always, and I enjoyed his ability to tell a story in a courthouse setting without using jargon that would confuse me.	0
ZIP ONLY MADE 2 WEEKS BOTTONS FAILED, WISH I NEVER BROUGHT IT	1
I wanted something large enough to do the job, small enough to be inconspicuous, and portable enough to put away when not needed.	0
We finally got a blu-ray player and I realized there weren't any more ports open unless I wanted to switch cables every time.	0
I like the high cut to keep the shorts bouncing on my knees, but I imagine they would be too short for some people.	0
I suppose the power supply wants to have the 475W available even if it doesn't need it.	0
Not as good as I read it would be.	0
Would have been 5 stars if the commands were easy to produce every time you use it.	1
But it was a good read & I found myself tsk-tsking at the main character's eating habits, irritated by the mean girls & it was almost like I KNEW these characters; like they could be anyone that you cross paths with at work, in your neighborhood, at your kids' school or at your grocery store.	0
DOA on Arival, no help from seller package missing parts, and looked used.	0
Mine is blank, doesn't have the heart-shaped outline on each leaf.	0
I strongly advise youto test all cassettes in the lot immediately after receiving the shipment so you can return or exchange them if necessary and you won't be stuck with a bunch of old/poor quality tapes because you deemed the first tape to be of tolerable quality.	0
I just wish I had bought this a long time ago.	1
In a package of 3 shirts all should have been X-Large, label on each said so but one fits like a Large and one other is not full length.	1
The reception is still great despite the split so I must assume the antenna is doing a great job.	0
wish there was more with the newswoman and   Harry.	1
She is beautiful, has a heart of gold and it turns out, she doesn't really put up with his craziness.	0
Equal in quality with the Chaiâ€™s Choice and the Love Home, this one was wide enough and came in black (what I wanted).	0
In the book, the main character is the mayor, not the Police Chief, Nora doesn't have a job at all, the former Chief/Father isn't in it, and the daughter is much more fully characterized.	0
I think they are a generous fit and I should have ordered a smaller size They are lovely quality and I will definitely be ordering a smaller size	1
Erin is totally guilty and think that her sentence should have been the same as the boys.	1
The material is not very thick, doesn't keep your head that warm unfortunately.	0
We were afraid we would have to buy a whole new Bluetooth.	0
I thought it was adorable even without the extra pieces (the garters, headband, etc).	0
Like I said, the story was cute it just left this reader wishing for more development.	0
One of the four grippers in the package arrived broken, didn't notice until after the move (and after the return window had expired)- should have been my first hint they were junk, since the packaging had little/ no damage.	1
Things are moving a little fast, but since it is so much fun I couldn't care less!	0
Wish these were full length novels because they are just so addictive.	1
I wanted a less expensive soundbar and hoped it would sound ok.	0
I'm not going to return because he can walk in it without tripping it just looks baggy but otherwise it is a nice costume.	0
I am so looking forward to reading the second book in this series, I finished the Sand Dollar only about an hour ago and am feeling disappointed that I won't be visiting the characters again tonight.	0
Haven't used it on anything else, perhaps items with a different type screen would be more effective, but I was really excited to try it and felt let down after I did.	0
I came with a power cord but none of the accessories and no foot pedal.	0
was ok  won't order more by this author however	0
Does not fit the tip without very firm twisting.	0
which would assist us in opposing this new and most formidable danger would be of value to us.” (Robertson memorandum on Entente with Russia 29 March, 1906)  Probably, without the Franco-Russian alliance, Great Britain would have accepted the “new Preponderance” just as she later had no choice but accept American preponderance.	1
Anyone that's an old-school fan of the days of the territory's, this is a must-read!	0
I would have given it five stars but the power button is very sensitive, I'm constantly disconnecting the calls.	1
It's a little snug going around but it doesn't feel like you're being cut in half.	0
It would be a good movie and I hope he does well financially for what he has done for the world.	0
I wish it was longer for my own personal enjoyment and while I wait for the next I'm sure I'll reread it 5 times over!!	1
Good quality and it doesn't loose the color after washing.	0
It was everything that he had hoped for in a bolo tie that he wanted for Christmas!	0
This pre movie poster is elegant without all the credits.	0
It also gave me some really weird dreams - thankfully, none about giant spiders.	0
It has plenty of power to suck up crumbs and other trash without any problems.	0
Had no idea it would be shipped from China.	0
Would have liked the option for a longer size.	1
There were several tantalizing directions I could have seen the story moving into, but it never did.	1
If the manufacturer would have done this, I think this product will be much more stable and perfect one.	1
My daughter couldn't wait for this to come out.	0
It doesn't make a map of the room.	0
i have always wanted a great pair of leather leggings, and this is awesome fits perfectly, love the product, definitely recommend	0
I take it as a huge positive for energy saving reasons and I think would be a great selling point.	0
Would recomend to others without a doubt chose product for known brand Easy to use directions were simple to follow	0
"""-The listing says these are \Ink'd 2.0\"""" but they are basic \""""Ink'd\"""" -There is a microphone, but it does not control the volume - I never would have bought if that was clear."""""""	1
We will update this review later in the event there are any issues, but our initial assessment would be that this is a great product at a reasonable price.	0
I wish I hadn't lost my original Sansa Clip.	1
(Not all radio stations can be accessed without a streaming APP; that's not Logitech's issue.)	0
Now bouncing back and forth across the country leaves me without it on occasion.	0
I'm usually a Size 10.. i think I should have went up a size.	1
Don't recommend dying them, it won't work too well.	0
doesn't heat very much... even on high.	0
I ordered mine a size smaller, so it would be a firmer hold and I am very satisfied.	0
It could be written on a 3-fold pamphlet...including biblio.	0
She only wish the actual legging came in different colors rather than just the waist portion.	1
The only problem is I haven't been able to find another book by this author.	0
this is unlike the one channel version of this remote that allows you to hybrid the entire remote without having to switch back an forth between the channels to control everything.	0
So far so good , haven't had a chance to use all the features yet , machine is real quiet and threads easily .	0
I haven't been able to find anything comparable in stores.	0
I would have been lost without that youtube video though.	1
Don't miss out on a story that has been left out of our history books.	0
Get the job done without the expense or the frills.	0
These are raw foam shells; the product I wanted, Coquette shoulder pads, are layered on the inside and covered with taffeta, and will shape and mold over time.	0
I don't like the fact that they don't really make any of these to fit a business card unless there are huge margins on the edges but since I make my own I won't ding it a star for this.	0
